,Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Male,Country,Timestamp,Clicked on Ad
47,85.4,43.0,67058.72,198.72,Triple-buffered demand-driven alliance,Johnport,0,Sri Lanka,8/6/2016 18:54,0
48,44.33,37.0,52723.34,123.72,Visionary maximized process improvement,Hamiltonfort,1,Trinidad and Tobago,8/1/2016 9:32,1
49,48.01,46.0,54286.1,119.93,Centralized 24/7 installation,West Christopher,0,Italy,25/4/2016 11:01,1
50,73.18,23.0,61526.25,196.71,Organized static focus group,Hollandberg,1,British Virgin Islands,4/4/2016 7:07,0
51,79.94,28.0,58526.04,225.29,Visionary reciprocal circuit,Odomville,0,United Kingdom,3/5/2016 21:19,0
52,33.33,45.0,53350.11,193.58,Pre-emptive value-added workforce,East Samanthashire,1,Guinea-Bissau,17/1/2016 9:31,1
53,50.33,50.0,62657.53,133.2,Sharable analyzing alliance,South Lauraton,1,Micronesia,2/3/2016 4:57,1
54,62.31,47.0,62722.57,119.3,Team-oriented encompassing portal,Amandahaven,0,Turkey,14/2/2016 7:36,1
55,80.6,31.0,67479.62,177.55,Sharable bottom-line solution,Thomasview,0,Croatia,7/4/2016 3:56,0
56,65.19,36.0,75254.88,150.61,Cross-group regional website,Garciaside,0,Israel,17/2/2016 11:42,1
57,44.98,49.0,52336.64,129.31,Organized global model,Port Sarahshire,0,Svalbard & Jan Mayen Islands,10/4/2016 0:13,1
58,77.63,29.0,56113.37,239.22,Upgradable asynchronous circuit,Port Gregory,0,Azerbaijan,14/2/2016 17:05,0
59,41.82,41.0,24852.9,156.36,Phased transitional instruction set,Brendachester,0,Iran,26/5/2016 22:49,1
60,85.61,27.0,47708.42,183.43,Customer-focused empowering ability,Lake Amy,0,Burundi,30/4/2016 8:07,0
61,85.84,34.0,64654.66,192.93,Front-line heuristic data-warehouse,Lake Annashire,1,Saint Vincent and the Grenadines,15/6/2016 5:30,0
62,72.08,29.0,71228.44,169.5,Stand-alone national attitude,Smithburgh,0,Burundi,9/3/2016 14:45,0
63,86.06,32.0,61601.05,178.92,Focused upward-trending core,North Leonmouth,1,Bulgaria,31/3/2016 20:55,0
64,45.96,45.0,66281.46,141.22,Streamlined cohesive conglomeration,Robertfurt,0,Christmas Island,3/6/2016 0:55,1
65,62.42,29.0,73910.9,198.5,Upgradable optimizing toolset,Jasminefort,1,Canada,10/3/2016 23:36,0
66,63.89,40.0,51317.33,105.22,Synchronized user-facing core,Jensenborough,0,Rwanda,8/1/2016 0:17,1
67,35.33,32.0,51510.18,200.22,Organized client-driven alliance,Bradleyburgh,0,Turks and Caicos Islands,5/6/2016 22:11,1
68,75.74,25.0,61005.87,215.25,Ergonomic multi-state structure,New Sheila,1,Tunisia,16/1/2016 11:35,0
69,78.53,34.0,32536.98,131.72,Synergized multimedia emulation,North Regina,0,Norfolk Island,22/4/2016 20:10,1
70,46.13,31.0,60248.97,139.01,Customer-focused optimizing moderator,Davidmouth,0,Bouvet Island (Bouvetoya),1/2/2016 9:00,1
71,69.01,46.0,74543.81,222.63,Advanced full-range migration,New Michaeltown,0,Turks and Caicos Islands,7/7/2016 13:37,0
72,55.35,39.0,75509.61,153.17,De-engineered object-oriented protocol,East Tammie,1,Cook Islands,8/3/2016 0:37,1
73,33.21,43.0,42650.32,167.07,Polarized clear-thinking budgetary management,Wilcoxport,1,Turkey,10/5/2016 17:39,1
74,38.46,42.0,58183.04,145.98,Customizable 6thgeneration knowledge user,East Michaelmouth,1,Guatemala,6/4/2016 11:24,1
75,64.1,22.0,60465.72,215.93,Seamless object-oriented structure,East Tiffanyport,0,Cote d'Ivoire,1/4/2016 16:21,0
76,49.81,35.0,57009.76,120.06,Seamless real-time array,Ramirezhaven,1,Faroe Islands,5/1/2016 4:18,1
77,82.73,33.0,54541.56,238.99,Grass-roots impactful system engine,Cranemouth,1,Qatar,20/5/2016 21:31,0
78,56.14,38.0,32689.04,113.53,Devolved tangible approach,Lake Edward,1,Ireland,3/2/2016 7:59,1
79,55.13,45.0,55605.92,111.71,Customizable executive software,Lake Conniefurt,0,Ukraine,17/2/2016 21:55,1
80,78.11,27.0,63296.87,209.25,Progressive analyzing attitude,East Shawnchester,1,Moldova,30/1/2016 16:10,0
81,73.46,28.0,65653.47,222.75,Innovative executive encoding,West Joseph,1,Nicaragua,15/5/2016 14:41,0
82,56.64,38.0,61652.53,115.91,Down-sized uniform info-mediaries,Lake Christopherfurt,0,Montserrat,5/1/2016 17:56,1
83,68.94,54.0,30726.26,138.71,Streamlined next generation implementation,East Tylershire,0,Timor-Leste,19/4/2016 7:34,1
84,70.79,31.0,74535.94,184.1,Distributed tertiary system engine,Sharpberg,0,Bouvet Island (Bouvetoya),15/3/2016 15:49,0
85,57.76,41.0,47861.93,105.15,Triple-buffered scalable groupware,Lake Dustin,0,Puerto Rico,12/6/2016 15:25,1
86,77.51,36.0,73600.28,200.55,Total 5thgeneration encoding,North Kristine,0,Central African Republic,1/7/2016 4:41,0
87,52.7,34.0,58543.94,118.6,Integrated human-resource encoding,Grahamberg,1,Venezuela,8/5/2016 12:12,1
88,57.7,34.0,42696.67,109.07,Phased dynamic customer loyalty,New Tina,0,Australia,14/3/2016 23:13,1
89,56.89,37.0,37334.78,109.29,Open-source coherent policy,Nelsonfurt,1,Wallis and Futuna,25/5/2016 0:19,1
90,69.9,43.0,71392.53,138.35,Down-sized modular intranet,Christopherport,0,Jersey,13/5/2016 11:51,1
91,55.79,24.0,59550.05,149.67,Pre-emptive content-based focus group,Port Sarahhaven,0,Puerto Rico,20/2/2016 20:47,1
92,70.03,26.0,64264.25,227.72,Versatile 4thgeneration system engine,Bradleyborough,1,Samoa,22/5/2016 20:49,0
93,50.08,40.0,64147.86,125.85,Ergonomic full-range time-frame,Whiteport,1,Greece,10/4/2016 2:02,1
94,43.67,31.0,25686.34,166.29,Automated directional function,New Theresa,1,Antarctica (the territory South of 60 deg S),28/2/2016 6:41,1
95,72.84,26.0,52968.22,238.63,Progressive empowering alliance,Wongland,0,Albania,8/7/2016 21:18,0
96,45.72,36.0,22473.08,154.02,Versatile homogeneous capacity,Williammouth,1,Hong Kong,19/4/2016 15:14,1
97,39.94,41.0,64927.19,156.3,Function-based optimizing protocol,Williamsborough,0,Lithuania,8/1/2016 22:47,1
98,35.61,46.0,51868.85,158.22,Up-sized secondary software,North Michael,0,Egypt,28/3/2016 8:46,1
99,79.71,34.0,69456.83,211.65,Seamless holistic time-frame,Benjaminchester,1,Bangladesh,2/7/2016 14:57,0
100,41.49,53.0,31947.65,169.18,Persevering reciprocal firmware,Hernandezville,0,Western Sahara,3/7/2016 9:22,1
101,63.6,23.0,51864.77,235.28,Centralized logistical secured line,Youngburgh,1,Serbia,1/6/2016 9:27,0
102,89.91,40.0,59593.56,194.23,Innovative background conglomeration,Wallacechester,0,Maldives,9/7/2016 14:55,0
103,68.18,21.0,48376.14,218.17,Switchable 3rdgeneration hub,Sanchezmouth,1,Czech Republic,9/2/2016 22:04,0
104,66.49,20.0,56884.74,202.16,Polarized 6thgeneration info-mediaries,Bradshawborough,0,Guernsey,10/6/2016 11:31,0
105,80.49,40.0,67186.54,229.12,Balanced heuristic approach,Amyhaven,1,Tanzania,14/2/2016 3:50,0
106,72.23,25.0,46557.92,241.03,Focused 24hour implementation,Marcushaven,1,Bhutan,5/7/2016 17:17,0
107,42.39,42.0,66541.05,150.99,De-engineered mobile infrastructure,Erinton,0,Christmas Island,28/4/2016 5:50,1
108,47.53,30.0,33258.09,135.18,Customer-focused upward-trending contingency,Hughesport,0,Guinea,3/4/2016 5:10,1
109,74.02,32.0,72272.9,210.54,Operative system-worthy protocol,Johnstad,0,Micronesia,9/3/2016 14:57,0
110,66.63,60.0,60333.38,176.98,User-friendly upward-trending intranet,New Lucasburgh,0,Madagascar,16/1/2016 23:37,1
111,63.24,53.0,65229.13,235.78,Future-proofed holistic superstructure,Michelleside,1,Lebanon,3/7/2016 4:33,1
112,71.0,22.0,56067.38,211.87,Extended systemic policy,Andersonton,0,Eritrea,14/3/2016 6:46,0
113,46.13,46.0,37838.72,123.64,Horizontal hybrid challenge,New Rachel,1,Guyana,9/1/2016 5:44,1
114,69.0,32.0,72683.35,221.21,Virtual composite model,Port Susan,1,Trinidad and Tobago,11/2/2016 4:37,0
115,76.99,31.0,56729.78,244.34,Switchable mobile framework,West Angelabury,1,Jersey,22/6/2016 7:33,0
116,72.6,55.0,66815.54,162.95,Focused intangible moderator,Port Christopherborough,0,United Arab Emirates,13/7/2016 16:12,1
117,61.88,42.0,60223.52,112.19,Balanced actuating moderator,Phillipsbury,1,Martinique,23/7/2016 11:46,1
118,84.45,50.0,29727.79,207.18,Customer-focused transitional strategy,Millerside,0,Somalia,13/7/2016 4:10,1
119,88.97,45.0,49269.98,152.49,Advanced web-enabled standardization,Lake Jessica,0,Bhutan,11/6/2016 18:32,1
120,86.19,31.0,57669.41,210.26,Pre-emptive executive knowledgebase,Lopezmouth,1,Greece,8/5/2016 12:51,0
121,49.58,26.0,56791.75,231.94,Self-enabling holistic process improvement,Johnsport,0,Benin,7/4/2016 16:02,0
122,77.65,27.0,63274.88,212.79,Horizontal client-driven hierarchy,South Ronald,0,Papua New Guinea,4/2/2016 13:30,0
123,37.75,36.0,35466.8,225.24,Polarized dynamic throughput,South Daniel,0,Uzbekistan,26/2/2016 19:48,1
124,62.33,43.0,68787.09,127.11,Devolved zero administration intranet,Suzannetown,0,South Africa,21/6/2016 13:15,1
125,79.57,31.0,61227.59,230.93,User-friendly asymmetric info-mediaries,Lisaberg,0,Egypt,17/5/2016 4:27,0
126,80.31,44.0,56366.88,127.07,Cross-platform regional task-force,Brianfurt,0,Hungary,18/4/2016 15:54,1
127,89.05,45.0,57868.44,206.98,Polarized bandwidth-monitored moratorium,Stewartbury,0,Falkland Islands (Malvinas),3/4/2016 10:07,0
128,70.41,27.0,66618.21,223.03,Centralized systematic knowledgebase,Benjaminchester,0,Dominica,4/4/2016 21:30,0
129,67.36,37.0,73104.47,233.56,Future-proofed grid-enabled implementation,North Wesleychester,0,Jersey,6/7/2016 16:00,0
130,46.98,50.0,21644.91,175.37,Down-sized well-modulated archive,East Michelleberg,0,Lithuania,4/5/2016 9:00,1
131,41.67,36.0,53817.02,132.55,Realigned zero tolerance emulation,Port Eric,0,Saint Martin,13/6/2016 18:50,1
132,51.24,36.0,76368.31,176.73,Versatile transitional monitoring,Timothyfurt,0,Cuba,3/1/2016 16:01,1
133,75.7,29.0,67633.44,215.44,Profound zero administration instruction set,Port Jeffrey,0,United States Minor Outlying Islands,14/1/2016 0:23,0
134,43.49,47.0,50335.46,127.83,User-centric intangible task-force,Guzmanland,0,Belize,12/1/2016 10:07,1
135,49.89,39.0,19504.987499999996,160.03,Enhanced system-worthy application,East Michele,1,Belize,16/4/2016 12:09,1
136,38.37,36.0,41229.16,140.46,Multi-layered user-facing paradigm,East John,0,Antarctica (the territory South of 60 deg S),13/5/2016 6:09,1
137,38.52,38.0,42581.23,137.28,Customer-focused 24/7 concept,Lesliebury,1,Saint Vincent and the Grenadines,27/3/2016 23:59,1
138,71.89,23.0,61617.98,172.81,Function-based transitional complexity,Patriciahaven,1,Kuwait,3/2/2016 23:47,0
139,75.8,38.0,70575.6,146.19,Progressive clear-thinking open architecture,Ashleychester,1,Thailand,18/4/2016 11:23,0
140,83.86,31.0,64122.36,190.25,Up-sized executive moderator,Lake Josetown,0,Gibraltar,5/2/2016 19:06,0
141,37.51,30.0,52097.32,163.0,Re-contextualized optimal service-desk,Debraburgh,1,Holy See (Vatican City State),21/3/2016 18:46,1
142,55.6,44.0,65953.76,124.38,Fully-configurable neutral open system,New Debbiestad,1,Korea,14/6/2016 11:59,1
143,83.67,44.0,60192.72,234.26,Upgradable system-worthy array,West Shaun,1,Saint Helena,6/2/2016 23:08,0
144,69.08,41.0,77460.07,210.6,Ergonomic client-driven application,Kimberlyhaven,0,Turks and Caicos Islands,12/3/2016 1:39,0
145,37.47,44.0,45716.48,141.89,Realigned content-based leverage,Port Lawrence,1,Czech Republic,26/1/2016 3:56,1
146,56.04,49.0,65120.86,128.95,Decentralized real-time circuit,West Ricardo,1,Netherlands,7/2/2016 8:02,1
147,70.92,41.0,49995.63,108.16,Polarized modular function,Lake Jose,1,Belarus,5/5/2016 7:58,1
148,49.78,46.0,71718.51,152.24,Enterprise-wide client-driven contingency,Heatherberg,0,Dominica,29/6/2016 2:43,1
149,68.61,57.0,61770.34,150.29,Diverse modular interface,South George,0,South Africa,10/4/2016 19:48,1
150,58.18,25.0,69112.84,176.28,Polarized analyzing concept,Tinachester,1,New Zealand,10/2/2016 6:37,0
151,78.54,35.0,72524.86,172.1,Multi-channeled asynchronous open system,Port Jodi,0,Togo,28/5/2016 20:41,0
152,37.0,48.0,36782.38,158.22,Function-based context-sensitive secured line,Jonathantown,1,Kenya,24/3/2016 6:36,1
153,65.4,33.0,66699.12,247.31,Adaptive 24hour Graphic Interface,Sylviaview,0,Palau,12/2/2016 22:51,0
154,79.52,27.0,64287.78,183.48,Automated coherent flexibility,East Timothyport,1,Timor-Leste,10/6/2016 10:11,0
155,87.98,38.0,56637.59,222.11,Focused scalable complexity,West Roytown,1,Cambodia,31/3/2016 10:44,0
156,44.64,36.0,55787.58,127.01,Up-sized incremental encryption,Codyburgh,0,Belize,14/2/2016 6:51,1
157,41.73,28.0,61142.33,202.18,Sharable dedicated Graphic Interface,Port Erikhaven,1,Cuba,7/1/2016 19:16,1
158,80.46,27.0,61625.87,207.96,Digitized zero administration paradigm,Port Chasemouth,1,Costa Rica,4/2/2016 2:13,0
159,75.55,36.0,73234.87,159.24,Managed grid-enabled standardization,Ramirezside,0,Liechtenstein,9/5/2016 2:58,1
160,76.32,35.0,74166.24,195.31,Networked foreground definition,East Michaeltown,1,Korea,23/6/2016 0:16,0
161,82.68,33.0,62669.59,222.77,Re-engineered exuding frame,West Courtney,1,Ukraine,20/6/2016 9:35,0
162,72.01,31.0,57756.89,251.0,Horizontal multi-state interface,West Michaelhaven,0,Angola,29/2/2016 12:31,0
163,75.83,24.0,58019.64,162.44,Diverse stable circuit,Walshhaven,0,Nauru,17/1/2016 15:10,0
164,41.28,50.0,50960.08,140.39,Universal 24/7 implementation,East Rachelview,0,Equatorial Guinea,29/1/2016 3:54,1
165,34.66,32.0,48246.6,194.83,Customer-focused multi-tasking Internet solution,Curtisport,0,Mongolia,14/7/2016 12:07,1
166,66.18,55.0,28271.84,143.42,Vision-oriented contextually-based extranet,Frankbury,0,Svalbard & Jan Mayen Islands,10/1/2016 23:14,1
167,86.06,31.0,53767.12,219.72,Extended local methodology,Timothytown,1,Timor-Leste,28/4/2016 18:34,0
168,59.59,42.0,43662.1,104.78,Re-engineered demand-driven capacity,Samanthaland,1,Brazil,6/7/2016 18:36,1
169,86.69,34.0,62238.58,198.56,Customer-focused attitude-oriented instruction set,South Jennifer,0,Chad,27/5/2016 6:19,0
170,43.77,52.0,49030.03,138.55,Synergized hybrid time-frame,Kyleborough,1,Portugal,25/1/2016 7:39,1
171,71.84,47.0,76003.47,199.79,Advanced exuding conglomeration,North Randy,1,Malawi,8/5/2016 22:47,0
172,80.23,31.0,68094.85,196.23,Secured clear-thinking middleware,South Daniellefort,0,Qatar,19/3/2016 14:23,0
173,74.41,26.0,64395.85,163.05,Right-sized value-added initiative,Dianashire,0,Singapore,23/7/2016 4:37,0
174,63.36,48.0,70053.27,137.43,Centralized tertiary pricing structure,East Eric,0,Guinea,23/6/2016 1:22,1
175,71.74,35.0,72423.97,227.56,Multi-channeled reciprocal artificial intelligence,Hammondport,0,Kazakhstan,19/7/2016 18:06,0
176,60.72,44.0,42995.8,105.69,Synergized context-sensitive database,Jacobstad,0,Kuwait,28/2/2016 18:52,1
177,72.04,22.0,60309.58,199.43,Realigned systematic function,Hernandezfort,0,Rwanda,10/2/2016 6:52,0
178,44.57,31.0,38349.78,133.17,Adaptive context-sensitive application,Joneston,1,China,27/3/2016 9:11,1
179,85.86,34.0,63115.34,208.23,Networked high-level structure,New Jeffreychester,0,Bouvet Island (Bouvetoya),23/5/2016 2:15,0
180,39.85,38.0,31343.39,145.96,Profit-focused dedicated utilization,East Stephen,0,Vietnam,3/1/2016 3:22,1
181,84.53,27.0,40763.13,168.34,Stand-alone tangible moderator,Turnerchester,0,Guatemala,4/1/2016 21:48,1
182,62.95,60.0,36752.24,157.04,Polarized tangible collaboration,Youngfort,0,Peru,24/5/2016 13:30,1
183,67.58,41.0,65044.59,255.61,Focused high-level conglomeration,Ingramberg,1,Mayotte,1/2/2016 19:42,0
184,85.56,29.0,53673.08,210.46,Advanced modular Local Area Network,South Denisefurt,0,Samoa,5/6/2016 13:16,0
185,46.88,54.0,43444.86,136.64,Virtual scalable secured line,Port Melissaberg,0,Singapore,4/2/2016 8:53,1
186,46.31,57.0,44248.52,153.98,Front-line fault-tolerant intranet,Bernardton,1,Jamaica,24/3/2016 13:37,1
187,77.95,31.0,62572.88,233.65,Inverse asymmetric instruction set,Port Mathew,1,Bahamas,2/6/2016 21:02,0
188,84.73,30.0,39840.55,153.76,Synchronized leadingedge help-desk,Aliciatown,0,Canada,21/2/2016 7:42,1
189,39.86,36.0,32593.59,145.85,Total 5thgeneration standardization,Josephstad,0,Algeria,26/6/2016 17:16,1
190,50.08,30.0,41629.86,123.91,Sharable grid-enabled matrix,West Ericfurt,0,Fiji,3/1/2016 5:34,1
191,60.23,35.0,43313.73,106.86,Balanced asynchronous hierarchy,New Brendafurt,0,Kenya,8/3/2016 18:00,1
192,60.7,49.0,42993.48,110.57,Monitored object-oriented Graphic Interface,Port Julie,1,Argentina,19/6/2016 3:19,1
193,43.67,53.0,46004.31,143.79,Cloned analyzing artificial intelligence,South Tiffanyton,1,Bouvet Island (Bouvetoya),21/7/2016 21:16,1
194,77.2,33.0,49325.48,254.05,Persistent homogeneous framework,North Elizabeth,1,Philippines,12/2/2016 20:36,0
195,71.86,32.0,51633.34,116.53,Face-to-face even-keeled website,Kentmouth,0,Senegal,17/5/2016 6:14,1
196,44.78,45.0,63363.04,137.24,Extended context-sensitive monitoring,West Casey,1,Suriname,9/7/2016 11:04,1
197,78.57,36.0,64045.93,239.32,Exclusive client-driven model,East Henry,1,Liberia,27/3/2016 2:35,0
198,73.41,31.0,73049.3,201.26,Profound executive flexibility,Hollyfurt,1,Guam,16/1/2016 8:01,0
199,77.05,27.0,66624.6,191.14,Reduced bi-directional strategy,North Anna,0,United Arab Emirates,21/1/2016 23:48,0
200,66.4,40.0,77567.85,214.42,Digitized heuristic solution,Port Destiny,0,Antigua and Barbuda,5/6/2016 0:29,0
201,69.35,29.0,53431.35,252.77,Seamless 4thgeneration contingency,Ianmouth,1,Argentina,13/2/2016 15:37,0
202,35.65,40.0,31265.75,172.58,Seamless intangible secured line,North Johntown,1,Georgia,10/5/2016 7:22,1
203,70.04,31.0,74780.74,183.85,Intuitive radical forecast,Hannahside,1,Jordan,27/3/2016 3:59,0
204,69.78,29.0,70410.11,218.79,Multi-layered non-volatile Graphical User Interface,Wilsonburgh,0,Saudi Arabia,24/5/2016 18:35,0
205,58.22,29.0,37345.24,120.9,User-friendly client-server instruction set,North Russellborough,0,South Africa,11/2/2016 2:40,1
206,76.9,28.0,66107.84,212.67,Synchronized multimedia model,Murphymouth,0,Croatia,22/4/2016 8:31,0
207,84.08,30.0,62336.39,187.36,Face-to-face intermediate approach,Carterburgh,1,Fiji,13/1/2016 2:58,0
208,59.51,58.0,39132.64,140.83,Assimilated fault-tolerant hub,Penatown,0,Australia,16/6/2016 2:01,1
209,40.15,38.0,38745.29,134.88,Exclusive disintermediate task-force,Joechester,1,Sao Tome and Principe,27/6/2016 18:37,1
210,76.81,28.0,65172.22,217.85,Managed zero tolerance concept,East Paul,1,Fiji,3/7/2016 12:57,0
211,41.89,38.0,68519.96,163.38,Compatible systemic function,Hartmanchester,0,Cyprus,3/2/2016 4:21,1
212,76.87,27.0,54774.77,235.35,Configurable fault-tolerant monitoring,Mcdonaldfort,1,Kyrgyz Republic,29/5/2016 21:17,0
213,67.28,43.0,76246.96,155.8,Future-proofed coherent hardware,North Mercedes,1,Pakistan,3/4/2016 21:13,1
214,81.98,40.0,65461.92,229.22,Ameliorated upward-trending definition,Taylorberg,0,Seychelles,15/4/2016 11:51,0
215,66.01,23.0,34127.21,151.95,Front-line tangible alliance,Hansenmouth,0,Samoa,21/6/2016 3:14,1
216,61.57,53.0,35253.98,125.94,Progressive 24hour forecast,Bradyfurt,1,Bulgaria,14/3/2016 14:13,1
217,53.3,34.0,44893.71,111.94,Self-enabling optimal initiative,West Jessicahaven,0,Mauritania,6/5/2016 21:07,1
218,34.87,40.0,59621.02,200.23,Configurable logistical Graphical User Interface,Davilachester,0,Czech Republic,12/6/2016 17:52,1
219,43.6,38.0,20856.54,170.49,Virtual bandwidth-monitored initiative,North Ricardotown,0,Chile,11/1/2016 7:36,1
220,77.88,37.0,55353.41,254.57,Multi-tiered human-resource structure,Melissafurt,0,Poland,2/7/2016 0:24,0
221,75.83,27.0,67516.07,200.59,Managed upward-trending instruction set,East Brianberg,0,Estonia,4/3/2016 10:13,0
222,49.95,39.0,68737.75,136.59,Cloned object-oriented benchmark,Millerbury,0,Turkmenistan,24/3/2016 9:12,1
223,60.94,41.0,76893.84,154.97,Fundamental fault-tolerant neural-net,Garciaview,0,Latvia,14/2/2016 7:30,1
224,89.15,42.0,59886.58,171.07,Phased zero administration success,Townsendfurt,0,Fiji,25/4/2016 7:30,0
225,78.7,30.0,53441.69,133.99,Compatible intangible customer loyalty,Williamstad,0,Turkey,10/2/2016 19:20,1
226,57.35,29.0,41356.31,119.84,Distributed 3rdgeneration definition,West Connor,0,Kazakhstan,23/4/2016 14:34,1
227,34.86,38.0,49942.66,154.75,Pre-emptive cohesive budgetary management,West Justin,0,Bahrain,18/6/2016 17:56,1
228,70.68,31.0,74430.08,199.08,Configurable multi-state utilization,Robertbury,0,Colombia,17/7/2016 1:58,0
